id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0081,Suzuki Vitara 2023,Camioneta,2.77,Normal
REV-0082,Chevrolet Aveo 2022,Minivan,1.57,Muy baja
REV-0083,BMW Serie 3 2024,Minivan,2.29,Normal
REV-0084,Toyota RAV4 2024,Minivan,3.13,Alta
REV-0085,RAM 1500 2023,Camioneta,2.21,Normal
REV-0086,Toyota Corolla 2023,Compacto,2.24,Normal
REV-0087,Mazda 3 2024,Compacto,3.55,Alta
REV-0088,Nissan Frontier 2023,SUV,2.24,Normal
REV-0089,Subaru Outback 2024,Lujo,3.54,Alta
REV-0090,Audi A4 2024,SUV,2.21,Normal
REV-0091,Suzuki Vitara 2023,Minivan,1.92,Normal
REV-0092,Audi A4 2024,Lujo,2.23,Normal
REV-0093,Mazda 3 2024,Pickup,3.68,Peligrosa
REV-0094,KIA Sportage 2023,Camioneta,2.89,Alta
REV-0095,KIA Sportage 2023,Camioneta,1.37,Muy baja
REV-0096,Subaru Outback 2024,Sedán,3.31,Alta
REV-0097,Toyota RAV4 2024,Camioneta,3.25,Alta
REV-0098,Mazda 3 2024,Minivan,2.80,Normal
REV-0099,Mercedes C300 2023,Minivan,3.29,Alta
REV-0100,KIA Sportage 2023,Compacto,2.05,Normal
REV-0101,Toyota Corolla 2023,Camioneta,2.14,Normal
REV-0102,Hyundai Tucson 2024,SUV,1.38,Muy baja
REV-0103,Chevrolet Silverado 2024,Sedán,3.25,Alta
REV-0104,Hyundai Tucson 2024,Minivan,3.14,Alta
REV-0106,Honda Civic 2022,Sedán,1.53,Muy baja
REV-0107,Ford Escape 2023,Camioneta,2.70,Normal
REV-0108,Audi A4 2024,Pickup,1.36,Muy baja
REV-0109,Toyota Corolla 2023,Deportivo,1.68,Baja
REV-0110,KIA Sportage 2023,Lujo,1.47,Muy baja
REV-0111,Chevrolet Aveo 2022,Compacto,3.64,Peligrosa
REV-0112,Toyota RAV4 2024,SUV,2.02,Normal
REV-0113,VW Tiguan 2024,Sedán,3.73,Peligrosa
REV-0114,Toyota RAV4 2024,Pickup,1.52,Muy baja
REV-0115,Subaru Outback 2024,Camioneta,1.86,Baja
REV-0116,Nissan Frontier 2023,Minivan,2.89,Alta
REV-0117,KIA Sportage 2023,Minivan,2.52,Normal
REV-0119,Suzuki Vitara 2023,Sedán,3.62,Peligrosa
REV-0120,Jeep Wrangler 2022,Pickup,2.14,Normal
REV-0121,VW Jetta 2023,Sedán,3.65,Peligrosa
REV-0123,Mazda CX-5 2023,Compacto,3.22,Alta
REV-0124,Toyota Hilux 2024,Compacto,2.21,Normal
REV-0125,Suzuki Vitara 2023,Sedán,1.91,Baja
REV-0126,Mazda 3 2024,Lujo,3.74,Peligrosa
REV-0127,BMW Serie 3 2024,Camioneta,2.23,Normal
REV-0128,Jeep Wrangler 2022,Compacto,1.79,Baja
REV-0129,Mazda CX-5 2023,Lujo,2.71,Normal
REV-0130,VW Jetta 2023,Compacto,1.60,Baja
REV-0131,Nissan Sentra 2024,Lujo,2.84,Normal
REV-0132,Ford Ranger 2023,Minivan,2.27,Normal
REV-0133,Mazda 3 2024,Sedán,1.78,Baja
REV-0134,Honda CR-V 2023,Sedán,1.30,Muy baja
REV-0135,Toyota Corolla 2023,Sedán,2.49,Normal
REV-0137,Jeep Wrangler 2022,Minivan,2.53,Normal
REV-0138,Honda Civic 2022,Pickup,2.93,Alta
REV-0139,Jeep Wrangler 2022,Lujo,3.09,Alta
REV-0140,Chevrolet Aveo 2022,Deportivo,1.94,Normal
REV-0141,Toyota RAV4 2024,Compacto,1.85,Baja
REV-0142,Honda CR-V 2023,Pickup,1.22,Muy baja
REV-0143,Toyota Hilux 2024,SUV,2.34,Normal
REV-0144,BMW Serie 3 2024,Minivan,2.37,Normal
REV-0145,Toyota Hilux 2024,Minivan,1.63,Baja
REV-0146,VW Tiguan 2024,Deportivo,3.57,Alta
REV-0147,VW Jetta 2023,Minivan,2.64,Normal
REV-0148,KIA Sportage 2023,SUV,2.89,Alta
REV-0149,Chevrolet Silverado 2024,Minivan,3.72,Peligrosa
REV-0151,Chevrolet Aveo 2022,SUV,1.24,Muy baja
REV-0152,Honda CR-V 2023,Minivan,2.90,Alta
REV-0153,Nissan Frontier 2023,Sedán,1.41,Muy baja
REV-0154,Nissan Sentra 2024,Lujo,3.49,Alta
REV-0155,Audi A4 2024,Sedán,2.46,Normal
REV-0156,Toyota Hilux 2024,SUV,1.96,Normal
REV-0157,Toyota Corolla 2023,Camioneta,3.52,Alta
REV-0158,BMW Serie 3 2024,Compacto,2.40,Normal
REV-0159,VW Jetta 2023,Sedán,1.91,Baja
REV-0160,Toyota Hilux 2024,Compacto,2.37,Normal
REV-0161,Mazda CX-5 2023,Compacto,2.39,Normal
REV-0162,Mercedes C300 2023,Minivan,1.41,Muy baja
REV-0163,Chevrolet Aveo 2022,Lujo,1.61,Baja
REV-0164,VW Jetta 2023,SUV,2.91,Alta
REV-0165,Mazda CX-5 2023,SUV,3.60,Peligrosa
REV-0166,Chevrolet Silverado 2024,Compacto,2.15,Normal
REV-0167,Hyundai Tucson 2024,Minivan,1.66,Baja
REV-0168,Mercedes C300 2023,Sedán,3.29,Alta
REV-0169,Toyota RAV4 2024,Pickup,2.83,Normal
REV-0170,BMW Serie 3 2024,Lujo,2.80,Normal
REV-0171,Ford Escape 2023,Sedán,3.66,Peligrosa
REV-0172,Mercedes C300 2023,SUV,2.73,Normal
REV-0173,Mazda CX-5 2023,SUV,3.56,Alta
REV-0174,Jeep Wrangler 2022,Sedán,1.25,Muy baja
REV-0175,Toyota Corolla 2023,Lujo,2.60,Normal
REV-0176,Toyota Hilux 2024,Compacto,1.61,Baja
REV-0177,Mazda 3 2024,Compacto,3.33,Alta
REV-0178,Toyota RAV4 2024,Sedán,1.68,Baja
REV-0179,Chevrolet Silverado 2024,Sedán,1.52,Muy baja
REV-0180,Chevrolet Aveo 2022,Camioneta,1.28,Muy baja
REV-0181,Toyota Hilux 2024,Sedán,1.84,Baja
REV-0182,Subaru Outback 2024,Pickup,1.21,Muy baja
REV-0183,BMW Serie 3 2024,Deportivo,3.45,Alta
REV-0184,Toyota Hilux 2024,Sedán,2.99,Alta
REV-0187,Nissan Frontier 2023,Sedán,3.15,Alta
REV-0188,Ford Ranger 2023,Compacto,2.25,Normal
REV-0189,BMW Serie 3 2024,Compacto,2.06,Normal
REV-0190,Nissan Sentra 2024,Compacto,3.26,Alta
REV-0191,Nissan Sentra 2024,Camioneta,2.21,Normal
REV-0192,KIA Sportage 2023,Deportivo,3.17,Alta
REV-0196,VW Tiguan 2024,Pickup,2.64,Normal
REV-0197,Toyota Hilux 2024,Compacto,2.77,Normal
REV-0198,Ford Ranger 2023,Minivan,1.37,Muy baja
REV-0199,RAM 1500 2023,Pickup,2.60,Normal
REV-0200,Suzuki Vitara 2023,Lujo,2.63,Normal
REV-0201,RAM 1500 2023,Minivan,2.66,Normal
REV-0202,Toyota Corolla 2023,Minivan,2.28,Normal
REV-0204,KIA Sportage 2023,SUV,1.73,Baja
REV-0205,Nissan Frontier 2023,Minivan,3.73,Peligrosa
REV-0206,Nissan Frontier 2023,Camioneta,1.38,Muy baja
REV-0207,Audi A4 2024,Compacto,2.42,Normal
REV-0208,VW Jetta 2023,Camioneta,3.27,Alta
REV-0210,Honda CR-V 2023,Sedán,1.81,Baja
REV-0211,Chevrolet Aveo 2022,Lujo,2.32,Normal
REV-0212,Audi A4 2024,Pickup,3.12,Alta
REV-0215,Ford Escape 2023,Deportivo,1.69,Baja
REV-0216,Chevrolet Silverado 2024,Deportivo,2.21,Normal
REV-0217,Chevrolet Silverado 2024,Pickup,3.58,Peligrosa
REV-0218,Honda Civic 2022,Compacto,1.46,Muy baja
REV-0219,Mazda 3 2024,Camioneta,2.51,Normal
REV-0222,Ford Escape 2023,SUV,2.70,Normal
REV-0223,Chevrolet Aveo 2022,Compacto,1.95,Normal
REV-0224,Ford Escape 2023,Sedán,1.71,Baja
REV-0225,Hyundai Tucson 2024,Camioneta,1.46,Muy baja
REV-0226,VW Tiguan 2024,Compacto,1.91,Baja
REV-0228,Nissan Frontier 2023,SUV,3.20,Alta
REV-0229,Nissan Sentra 2024,Minivan,2.00,Normal
REV-0230,BMW Serie 3 2024,Pickup,1.24,Muy baja
REV-0231,Mazda 3 2024,SUV,1.24,Muy baja
REV-0232,Mazda CX-5 2023,Deportivo,2.33,Normal
REV-0234,RAM 1500 2023,Lujo,1.38,Muy baja
REV-0235,VW Tiguan 2024,Minivan,3.29,Alta
REV-0236,Suzuki Vitara 2023,Compacto,1.94,Normal
REV-0237,Chevrolet Silverado 2024,Pickup,1.27,Muy baja
REV-0238,Mazda 3 2024,Lujo,3.55,Alta
REV-0239,Ford Ranger 2023,Camioneta,3.61,Peligrosa
REV-0240,Ford Ranger 2023,Lujo,2.09,Normal
REV-0241,VW Jetta 2023,Compacto,2.68,Normal
REV-0242,Toyota RAV4 2024,Minivan,3.61,Peligrosa
REV-0243,Audi A4 2024,Camioneta,3.56,Alta
REV-0244,Honda Civic 2022,Deportivo,2.65,Normal
REV-0245,Hyundai Tucson 2024,Pickup,1.57,Muy baja
REV-0246,Chevrolet Aveo 2022,Deportivo,2.31,Normal
REV-0247,Jeep Wrangler 2022,Minivan,3.31,Alta
REV-0248,Subaru Outback 2024,Sedán,2.31,Normal
REV-0249,Hyundai Tucson 2024,Pickup,1.80,Baja
REV-0250,Mercedes C300 2023,Pickup,1.68,Baja
REV-0251,VW Tiguan 2024,Compacto,1.56,Muy baja
REV-0253,Hyundai Tucson 2024,Deportivo,2.56,Normal
REV-0254,Hyundai Tucson 2024,Minivan,2.42,Normal
REV-0255,KIA Sportage 2023,Lujo,1.78,Baja
REV-0256,Toyota RAV4 2024,Camioneta,1.42,Muy baja
REV-0257,Chevrolet Silverado 2024,Pickup,3.30,Alta
REV-0258,VW Jetta 2023,Minivan,2.37,Normal
REV-0259,VW Tiguan 2024,Lujo,2.52,Normal
REV-0260,Ford Ranger 2023,Camioneta,1.55,Muy baja
REV-0261,Ford Ranger 2023,Minivan,1.44,Muy baja
REV-0262,Subaru Outback 2024,Pickup,2.05,Normal
REV-0263,Jeep Wrangler 2022,Deportivo,1.78,Baja
REV-0264,Suzuki Vitara 2023,Minivan,2.95,Alta
REV-0265,Honda Civic 2022,Deportivo,1.71,Baja
REV-0266,Honda CR-V 2023,Pickup,3.45,Alta
REV-0267,Mercedes C300 2023,Pickup,3.62,Peligrosa
REV-0268,Nissan Sentra 2024,Camioneta,1.20,Muy baja
REV-0269,Audi A4 2024,SUV,1.38,Muy baja
REV-0270,Hyundai Tucson 2024,SUV,2.18,Normal
REV-0271,VW Tiguan 2024,Camioneta,3.61,Peligrosa
REV-0272,Mercedes C300 2023,SUV,3.15,Alta
REV-0273,KIA Sportage 2023,Compacto,2.74,Normal
REV-0274,RAM 1500 2023,Pickup,3.11,Alta
REV-0275,Mazda CX-5 2023,Minivan,1.95,Normal
REV-0276,Nissan Frontier 2023,Compacto,3.14,Alta
REV-0277,Toyota Corolla 2023,SUV,1.83,Baja
REV-0278,Nissan Frontier 2023,Compacto,3.71,Peligrosa
REV-0279,Nissan Sentra 2024,Sedán,1.30,Muy baja
REV-0281,Toyota RAV4 2024,Sedán,3.58,Peligrosa
REV-0282,Mazda 3 2024,Deportivo,2.85,Normal
REV-0283,Mazda 3 2024,Lujo,1.61,Baja
REV-0284,Toyota RAV4 2024,Sedán,2.23,Normal
REV-0286,VW Jetta 2023,SUV,3.19,Alta
REV-0287,Nissan Frontier 2023,Deportivo,3.44,Alta
REV-0288,VW Jetta 2023,SUV,1.82,Baja
REV-0289,RAM 1500 2023,Sedán,1.23,Muy baja
REV-0290,Subaru Outback 2024,SUV,1.62,Baja
REV-0291,Jeep Wrangler 2022,SUV,3.08,Alta
REV-0293,Nissan Frontier 2023,Camioneta,2.08,Normal
REV-0294,Nissan Sentra 2024,Camioneta,3.31,Alta
REV-0295,VW Jetta 2023,Minivan,2.68,Normal
REV-0296,Audi A4 2024,Minivan,3.16,Alta
REV-0297,Mercedes C300 2023,Compacto,3.34,Alta
REV-0298,Mercedes C300 2023,Deportivo,1.55,Muy baja
REV-0299,Honda Civic 2022,SUV,1.48,Muy baja
REV-0301,Mazda CX-5 2023,Sedán,2.97,Alta
REV-0302,Ford Escape 2023,Minivan,2.42,Normal
REV-0303,VW Jetta 2023,SUV,3.71,Peligrosa
REV-0304,Chevrolet Aveo 2022,Minivan,1.43,Muy baja
REV-0305,Mercedes C300 2023,Deportivo,3.60,Peligrosa
REV-0306,Honda Civic 2022,Lujo,2.52,Normal
REV-0307,Subaru Outback 2024,Pickup,1.60,Baja
REV-0308,Nissan Frontier 2023,Deportivo,2.41,Normal
REV-0309,Suzuki Vitara 2023,Camioneta,2.18,Normal
REV-0310,KIA Sportage 2023,SUV,3.50,Alta
REV-0311,RAM 1500 2023,Minivan,1.24,Muy baja
REV-0312,VW Jetta 2023,Sedán,2.83,Normal
REV-0313,Chevrolet Aveo 2022,Compacto,3.50,Alta
REV-0314,Mazda CX-5 2023,Minivan,2.41,Normal
REV-0315,Suzuki Vitara 2023,SUV,2.09,Normal
REV-0316,Hyundai Tucson 2024,Deportivo,2.46,Normal
REV-0317,Honda Civic 2022,Camioneta,2.30,Normal
REV-0318,Honda Civic 2022,Deportivo,1.33,Muy baja
REV-0319,Ford Ranger 2023,Pickup,1.21,Muy baja
REV-0320,Honda Civic 2022,Deportivo,1.59,Baja
REV-0321,Suzuki Vitara 2023,Lujo,2.75,Normal
REV-0322,Nissan Frontier 2023,Camioneta,1.24,Muy baja
REV-0323,Chevrolet Silverado 2024,Compacto,1.83,Baja
REV-0324,VW Jetta 2023,Sedán,2.07,Normal
REV-0325,Honda CR-V 2023,Camioneta,2.53,Normal
REV-0326,Honda Civic 2022,SUV,3.49,Alta
REV-0327,Ford Escape 2023,Lujo,3.24,Alta
REV-0328,Audi A4 2024,Lujo,3.48,Alta
REV-0329,Nissan Frontier 2023,SUV,2.44,Normal
REV-0330,Honda Civic 2022,Sedán,2.48,Normal
REV-0331,Chevrolet Aveo 2022,Minivan,2.71,Normal
REV-0332,Ford Ranger 2023,Sedán,1.81,Baja
REV-0333,Toyota Hilux 2024,Sedán,2.14,Normal
REV-0334,Honda Civic 2022,Camioneta,1.68,Baja
REV-0335,RAM 1500 2023,Deportivo,3.18,Alta
REV-0336,Ford Escape 2023,Sedán,2.40,Normal
REV-0337,BMW Serie 3 2024,Pickup,2.66,Normal
REV-0338,Chevrolet Aveo 2022,Compacto,3.28,Alta
REV-0339,Suzuki Vitara 2023,Pickup,2.47,Normal
REV-0340,Mercedes C300 2023,Sedán,2.04,Normal
REV-0341,Ford Escape 2023,Lujo,2.88,Alta
REV-0343,BMW Serie 3 2024,Sedán,1.47,Muy baja
REV-0344,Subaru Outback 2024,Minivan,3.04,Alta
REV-0347,Toyota Corolla 2023,Lujo,3.33,Alta
REV-0348,Honda Civic 2022,Deportivo,2.52,Normal
REV-0349,Toyota RAV4 2024,Minivan,1.36,Muy baja
REV-0350,VW Jetta 2023,Deportivo,1.74,Baja
REV-0351,Toyota Corolla 2023,Minivan,1.48,Muy baja
REV-0352,Ford Escape 2023,Deportivo,2.03,Normal
REV-0353,Chevrolet Silverado 2024,Pickup,1.79,Baja
REV-0354,RAM 1500 2023,Camioneta,1.85,Baja
REV-0355,Ford Escape 2023,Camioneta,3.50,Alta
REV-0356,Audi A4 2024,Deportivo,1.40,Muy baja
REV-0357,Suzuki Vitara 2023,Compacto,3.05,Alta
REV-0358,Mazda 3 2024,Lujo,1.49,Muy baja
REV-0359,Honda Civic 2022,Pickup,3.42,Alta
REV-0360,Nissan Sentra 2024,Lujo,3.42,Alta
REV-0361,Nissan Frontier 2023,Sedán,2.26,Normal
REV-0362,Mazda 3 2024,Sedán,2.06,Normal
REV-0363,Mazda 3 2024,Compacto,2.52,Normal
REV-0365,Toyota RAV4 2024,Minivan,2.77,Normal
REV-0366,Nissan Sentra 2024,SUV,2.39,Normal
REV-0367,Chevrolet Silverado 2024,Camioneta,1.85,Baja
REV-0368,KIA Sportage 2023,Compacto,3.25,Alta
REV-0369,RAM 1500 2023,Deportivo,2.12,Normal
REV-0370,VW Tiguan 2024,Pickup,2.41,Normal
REV-0371,Ford Escape 2023,SUV,1.29,Muy baja
REV-0372,Chevrolet Aveo 2022,SUV,2.92,Alta
REV-0373,Jeep Wrangler 2022,Sedán,2.59,Normal
REV-0374,Ford Escape 2023,Lujo,3.13,Alta
REV-0375,Jeep Wrangler 2022,Sedán,3.36,Alta
REV-0376,Ford Ranger 2023,SUV,2.67,Normal
REV-0377,VW Jetta 2023,Compacto,3.76,Peligrosa
REV-0378,VW Tiguan 2024,SUV,1.82,Baja
REV-0379,Toyota Hilux 2024,SUV,2.67,Normal
REV-0380,Honda Civic 2022,Camioneta,2.13,Normal
REV-0381,Toyota Corolla 2023,Camioneta,2.86,Normal
REV-0382,VW Tiguan 2024,Lujo,3.42,Alta
REV-0383,Ford Ranger 2023,Pickup,2.65,Normal
REV-0384,VW Jetta 2023,Compacto,2.52,Normal
REV-0385,Ford Ranger 2023,Pickup,1.34,Muy baja
REV-0386,VW Jetta 2023,Minivan,2.98,Alta
REV-0387,Audi A4 2024,Lujo,2.07,Normal
REV-0388,Toyota Corolla 2023,Deportivo,3.37,Alta
REV-0389,Chevrolet Silverado 2024,Minivan,1.69,Baja
REV-0390,VW Jetta 2023,Compacto,1.21,Muy baja
REV-0391,Mazda CX-5 2023,Deportivo,2.06,Normal
REV-0392,Honda Civic 2022,Deportivo,1.24,Muy baja
REV-0393,Mazda 3 2024,Compacto,1.63,Baja
REV-0394,KIA Sportage 2023,Sedán,3.44,Alta
REV-0395,Mercedes C300 2023,Minivan,1.50,Muy baja
REV-0396,Nissan Sentra 2024,Camioneta,3.37,Alta
REV-0397,Audi A4 2024,Compacto,2.52,Normal
REV-0398,VW Jetta 2023,Lujo,2.38,Normal
REV-0399,Nissan Sentra 2024,Lujo,2.89,Alta
REV-0400,Audi A4 2024,Pickup,3.71,Peligrosa
REV-0401,Nissan Frontier 2023,Minivan,3.79,Peligrosa
REV-0402,Chevrolet Aveo 2022,Compacto,2.31,Normal
REV-0403,Nissan Frontier 2023,Pickup,2.85,Normal
REV-0404,VW Jetta 2023,Pickup,2.12,Normal
REV-0405,KIA Sportage 2023,SUV,2.45,Normal
REV-0406,VW Tiguan 2024,Compacto,3.79,Peligrosa
REV-0407,BMW Serie 3 2024,Pickup,3.11,Alta
REV-0409,Mazda CX-5 2023,Minivan,2.54,Normal
REV-0410,Chevrolet Aveo 2022,Lujo,3.35,Alta
REV-0411,RAM 1500 2023,Compacto,1.56,Muy baja
REV-0412,Jeep Wrangler 2022,Pickup,2.52,Normal
REV-0413,Ford Ranger 2023,SUV,2.51,Normal
REV-0414,Audi A4 2024,Deportivo,1.56,Muy baja
REV-0415,KIA Sportage 2023,Sedán,2.39,Normal
REV-0416,BMW Serie 3 2024,Deportivo,2.36,Normal
REV-0417,Jeep Wrangler 2022,Minivan,1.61,Baja
REV-0418,Honda Civic 2022,Minivan,3.32,Alta
REV-0419,VW Jetta 2023,SUV,3.36,Alta
REV-0420,Toyota Hilux 2024,Minivan,1.53,Muy baja
REV-0421,Toyota Hilux 2024,Sedán,3.73,Peligrosa
REV-0422,VW Jetta 2023,Compacto,1.72,Baja
REV-0423,Hyundai Tucson 2024,Pickup,1.89,Baja
REV-0425,Honda Civic 2022,Pickup,2.57,Normal
REV-0426,Jeep Wrangler 2022,Lujo,2.20,Normal
REV-0427,Honda Civic 2022,Deportivo,3.41,Alta
REV-0428,BMW Serie 3 2024,Lujo,1.95,Normal
REV-0429,Honda CR-V 2023,Deportivo,1.49,Muy baja
REV-0430,Jeep Wrangler 2022,Lujo,2.82,Normal
REV-0431,Toyota RAV4 2024,Compacto,2.35,Normal
REV-0432,Ford Escape 2023,Minivan,1.88,Baja
REV-0433,VW Jetta 2023,Deportivo,3.02,Alta
REV-0434,Audi A4 2024,Deportivo,1.96,Normal
REV-0435,BMW Serie 3 2024,Compacto,3.76,Peligrosa
REV-0436,Chevrolet Silverado 2024,Lujo,1.71,Baja
REV-0437,Hyundai Tucson 2024,Minivan,1.62,Baja
REV-0438,Chevrolet Silverado 2024,Sedán,3.34,Alta
REV-0439,Suzuki Vitara 2023,Deportivo,2.09,Normal
REV-0440,Nissan Frontier 2023,Deportivo,2.23,Normal
REV-0441,Mercedes C300 2023,Camioneta,2.42,Normal
REV-0442,Jeep Wrangler 2022,Lujo,2.85,Normal
REV-0443,VW Tiguan 2024,Deportivo,3.66,Peligrosa
REV-0444,VW Jetta 2023,Compacto,3.41,Alta
REV-0445,Suzuki Vitara 2023,Pickup,3.02,Alta
REV-0446,Subaru Outback 2024,Pickup,1.21,Muy baja
REV-0447,Mercedes C300 2023,Sedán,3.69,Peligrosa
REV-0448,BMW Serie 3 2024,Sedán,2.12,Normal
REV-0449,Ford Ranger 2023,Minivan,1.63,Baja
REV-0450,Toyota Hilux 2024,Compacto,3.38,Alta
REV-0451,KIA Sportage 2023,Compacto,2.93,Alta
REV-0452,Mazda 3 2024,Deportivo,3.20,Alta
REV-0453,Nissan Sentra 2024,Camioneta,1.49,Muy baja
REV-0454,Toyota RAV4 2024,SUV,1.40,Muy baja
REV-0455,Hyundai Tucson 2024,Minivan,3.36,Alta
REV-0456,Nissan Frontier 2023,Lujo,3.16,Alta
REV-0457,Honda CR-V 2023,SUV,3.25,Alta
REV-0458,Hyundai Tucson 2024,Camioneta,1.73,Baja
REV-0459,Subaru Outback 2024,Pickup,1.32,Muy baja
REV-0460,Ford Ranger 2023,Deportivo,2.66,Normal
REV-0461,Suzuki Vitara 2023,SUV,3.72,Peligrosa
REV-0462,VW Jetta 2023,Minivan,3.16,Alta
REV-0463,Chevrolet Aveo 2022,SUV,3.65,Peligrosa
REV-0464,Mazda CX-5 2023,Pickup,2.75,Normal
REV-0465,Ford Ranger 2023,Deportivo,1.62,Baja
REV-0466,Audi A4 2024,Compacto,1.41,Muy baja
REV-0467,Subaru Outback 2024,Minivan,3.19,Alta
REV-0468,Subaru Outback 2024,Lujo,3.51,Alta
REV-0469,Honda CR-V 2023,Compacto,3.28,Alta
REV-0470,Hyundai Tucson 2024,SUV,2.52,Normal
REV-0471,VW Jetta 2023,Pickup,2.73,Normal
REV-0472,Honda CR-V 2023,Minivan,2.89,Alta
REV-0473,Ford Ranger 2023,Minivan,2.31,Normal
REV-0474,Mazda CX-5 2023,Camioneta,1.36,Muy baja
REV-0475,Nissan Frontier 2023,Camioneta,1.61,Baja
REV-0476,Suzuki Vitara 2023,Lujo,1.35,Muy baja
REV-0477,Nissan Sentra 2024,Minivan,2.09,Normal
REV-0478,Toyota Hilux 2024,Sedán,3.63,Peligrosa
REV-0479,Chevrolet Aveo 2022,Camioneta,2.50,Normal
REV-0480,Hyundai Tucson 2024,Compacto,1.43,Muy baja
REV-0481,Toyota RAV4 2024,Lujo,3.61,Peligrosa
REV-0482,VW Tiguan 2024,Pickup,3.31,Alta
